datum	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
21.3.1994	4	6	9	10	13	17	22	31	34	35	50	52	57	59	60	66	70	72	73	77
22.3.1994	1	3	7	11	12	15	19	20	30	37	39	45	51	52	53	58	62	64	71	72
23.3.1994	4	6	8	9	12	20	27	28	32	37	39	41	44	57	60	61	69	70	71	74
24.3.1994	2	4	5	8	11	13	22	25	28	29	31	33	57	61	64	68	69	76	78	79
25.3.1994	2	3	7	18	24	30	31	35	38	39	43	46	49	53	57	62	66	69	78	79
26.3.1994	11	12	14	15	17	27	29	31	44	45	46	56	59	60	63	70	71	73	74	76
28.3.1994	3	7	11	12	14	15	17	20	26	33	39	42	44	47	55	61	63	68	69	80
29.3.1994	6	7	9	19	22	28	34	39	40	41	45	51	54	60	61	67	69	70	71	75
30.3.1994	1	12	13	14	17	19	21	23	25	30	33	36	39	46	47	50	52	53	63	79
31.3.1994	1	11	12	14	15	16	17	18	22	25	30	35	37	38	42	51	57	65	69	72
1.4.1994	6	12	16	19	20	25	30	35	40	46	47	51	52	60	62	65	69	72	73	80
2.4.1994	2	3	10	15	16	20	26	27	29	32	41	43	45	51	55	57	58	63	66	77
5.4.1994	4	5	6	10	12	13	19	21	22	23	26	31	38	40	53	58	60	68	71	73
6.4.1994	1	7	8	9	18	20	21	22	29	33	34	35	47	54	56	60	67	71	72	79
7.4.1994	1	2	8	9	17	18	21	23	28	29	32	33	36	45	55	57	65	67	76	79
8.4.1994	3	8	9	16	23	28	35	36	37	39	44	47	49	52	58	60	65	69	75	80
9.4.1994	7	9	13	18	23	24	29	33	35	40	49	51	52	54	57	59	65	71	73	77
11.4.1994	2	8	9	11	15	16	21	23	25	27	44	45	50	51	55	61	62	71	74	75
12.4.1994	18	23	26	29	34	40	42	43	46	49	54	63	65	69	70	71	72	73	77	78
13.4.1994	9	10	15	16	17	19	20	24	28	30	32	37	38	40	42	47	54	60	63	76
14.4.1994	1	2	5	8	10	28	29	30	33	35	37	44	46	52	58	64	72	74	76	79
15.4.1994	1	2	12	13	14	17	18	19	23	24	25	36	37	42	43	46	56	63	68	73
16.4.1994	1	2	9	12	16	18	20	22	23	26	32	35	36	45	46	52	53	56	65	76
18.4.1994	3	7	8	9	14	20	24	25	28	30	31	34	35	50	52	59	63	65	66	77
19.4.1994	2	6	8	15	22	25	27	34	36	38	45	51	59	62	63	71	72	74	76	80
20.4.1994	4	6	8	11	13	16	17	18	33	34	36	38	41	59	62	66	68	69	71	75
21.4.1994	3	6	8	9	18	20	22	23	24	28	52	55	64	67	69	71	72	73	74	77
22.4.1994	2	4	5	7	13	20	23	25	28	32	35	36	41	46	52	53	57	59	70	78
23.4.1994	4	5	9	21	24	25	31	32	33	34	38	46	47	53	62	69	72	76	79	80
25.4.1994	1	3	4	7	8	11	15	17	23	33	38	51	53	54	65	66	68	69	70	77
26.4.1994	4	6	8	13	18	24	30	31	36	40	44	45	47	50	58	59	69	70	75	80
27.4.1994	3	4	7	10	11	12	27	30	35	37	48	50	51	55	58	64	67	71	75	77
28.4.1994	8	13	15	19	21	26	28	33	37	40	42	43	47	50	51	57	59	60	61	77
29.4.1994	8	10	17	18	26	28	29	38	39	42	57	59	60	62	63	66	68	69	71	79
30.4.1994	14	15	16	17	25	26	28	29	35	38	39	53	55	58	62	68	70	78	79	80
2.5.1994	2	11	29	30	33	34	37	38	42	45	47	50	55	56	61	63	68	69	74	78
3.5.1994	1	5	6	9	15	18	22	25	29	31	32	33	36	39	40	52	53	55	65	75
4.5.1994	4	5	12	13	15	19	22	23	25	28	30	33	36	48	56	61	63	67	68	71
5.5.1994	2	3	6	17	19	20	23	26	30	34	46	47	48	51	55	59	73	74	77	78
6.5.1994	9	11	14	20	27	33	40	46	47	48	52	53	54	56	57	58	59	65	67	80
7.5.1994	1	14	17	18	25	28	33	37	40	44	49	51	53	57	58	62	67	70	71	74
9.5.1994	6	10	12	13	14	20	25	26	27	29	30	31	45	49	52	59	61	65	69	71
10.5.1994	4	6	11	15	17	23	24	25	31	36	41	42	43	47	53	56	60	62	78	80
11.5.1994	3	10	12	19	23	27	31	32	34	37	38	40	41	45	52	53	67	68	71	72
12.5.1994	11	14	19	26	30	35	36	40	41	44	47	48	49	54	59	62	66	69	71	77
13.5.1994	6	11	31	32	34	35	44	48	49	50	51	52	58	59	65	69	75	76	77	78
14.5.1994	2	7	8	17	19	30	32	37	44	48	51	55	56	66	69	70	71	72	78	79
16.5.1994	4	14	19	20	24	27	28	31	33	35	39	41	42	50	52	62	70	73	77	78
17.5.1994	10	11	12	14	16	18	19	23	33	39	41	45	49	51	52	53	57	66	72	80
18.5.1994	2	4	8	13	15	19	21	22	25	26	31	33	38	42	48	56	64	71	74	79
19.5.1994	6	17	19	21	24	25	29	30	34	35	37	40	48	50	52	58	62	63	77	78
20.5.1994	1	3	5	6	14	21	22	23	24	28	39	40	42	45	46	63	64	71	76	79
21.5.1994	6	7	15	17	18	31	34	35	36	38	39	40	47	58	62	63	66	68	78	79
23.5.1994	3	8	9	13	18	19	20	23	25	26	30	32	41	43	51	54	56	63	71	80
24.5.1994	4	12	18	19	22	24	34	35	38	42	46	47	52	53	60	61	64	67	72	74
25.5.1994	7	12	15	16	22	27	34	36	39	42	43	49	52	58	61	64	71	77	79	80
26.5.1994	5	6	7	9	12	18	20	22	25	30	32	44	46	52	57	60	65	74	78	79
27.5.1994	1	3	6	8	10	15	22	23	26	27	33	34	40	43	48	49	50	68	77	80
28.5.1994	7	8	10	11	13	14	33	36	42	43	48	50	52	56	69	70	71	74	78	80
30.5.1994	1	2	8	13	15	18	30	35	37	39	41	49	52	54	64	66	67	71	74	75
31.5.1994	1	4	19	20	22	33	35	43	46	47	48	49	52	54	55	57	64	72	76	79
1.6.1994	2	3	11	12	14	28	30	31	34	42	43	44	48	50	52	53	54	63	72	80
2.6.1994	1	11	19	20	21	23	25	32	35	42	44	45	49	56	59	61	62	63	74	80
3.6.1994	10	12	17	21	25	30	39	40	44	54	55	57	58	62	64	68	71	72	75	76
4.6.1994	4	7	10	14	16	19	20	27	30	42	43	47	51	53	58	64	67	75	77	78
6.6.1994	3	4	5	6	13	14	21	25	28	29	31	32	36	39	40	41	57	61	68	76
7.6.1994	1	2	8	13	18	22	27	32	33	37	38	39	41	48	56	61	63	64	67	73
8.6.1994	1	3	6	9	19	23	25	27	39	41	42	44	49	51	52	53	68	73	75	80
9.6.1994	4	5	11	13	14	16	18	21	24	41	48	50	55	58	60	61	62	63	74	76
10.6.1994	2	4	6	16	20	22	33	34	39	40	41	43	44	46	51	52	66	69	77	79
11.6.1994	1	2	3	13	17	19	37	41	42	44	46	60	61	62	65	66	68	69	73	79
13.6.1994	3	6	7	8	9	12	15	16	17	18	21	28	35	54	59	60	68	74	77	78
14.6.1994	4	9	14	17	22	29	30	33	35	36	40	41	46	51	52	53	67	71	72	76
15.6.1994	3	6	7	11	14	15	22	25	37	41	46	56	58	60	62	65	67	70	76	79
16.6.1994	5	7	8	9	10	13	18	21	23	25	26	30	44	51	52	53	54	55	59	70
17.6.1994	3	9	10	15	17	20	25	30	34	36	39	43	45	49	50	56	62	69	70	80
18.6.1994	2	5	12	17	20	22	26	28	36	41	45	48	52	53	56	58	69	77	79	80
20.6.1994	5	7	11	13	17	20	29	30	34	38	43	44	49	57	58	64	66	69	73	74
21.6.1994	3	5	6	11	12	19	22	28	29	31	35	41	43	46	52	59	67	69	73	75
22.6.1994	1	2	5	6	7	8	12	13	19	23	36	39	45	46	48	49	55	68	75	76
23.6.1994	5	6	11	21	24	25	33	49	51	58	63	65	67	68	71	73	75	77	78	80
24.6.1994	18	24	27	28	33	37	38	43	53	57	62	63	64	65	67	69	74	75	78	80
25.6.1994	2	3	5	17	18	26	28	29	33	39	40	45	58	60	61	66	70	78	79	80
27.6.1994	3	6	9	13	18	30	35	41	42	46	47	49	53	63	68	72	73	76	77	78
28.6.1994	3	6	15	16	22	25	36	40	44	47	53	54	58	61	65	66	67	70	74	80
29.6.1994	3	10	11	13	30	31	34	35	49	52	56	60	61	62	63	64	65	73	76	78
30.6.1994	5	6	8	11	13	14	21	27	30	32	33	43	47	51	54	60	62	68	73	77
1.7.1994	4	5	11	13	15	16	17	19	20	24	28	37	40	43	51	52	53	64	66	69
2.7.1994	3	5	18	19	20	22	25	31	33	42	45	49	51	53	54	60	65	66	68	80
4.7.1994	1	5	11	15	22	25	29	34	35	36	39	51	54	63	64	65	67	69	70	76
7.7.1994	1	8	18	20	26	28	29	30	33	34	39	41	43	49	50	53	61	62	72	74
8.7.1994	1	2	5	12	13	23	29	33	43	45	48	51	52	55	56	66	67	70	72	76
9.7.1994	1	2	4	6	19	22	26	27	29	33	34	35	40	45	50	54	59	72	76	79
11.7.1994	3	5	18	20	25	26	27	31	34	45	52	53	55	56	58	62	65	66	67	74
12.7.1994	4	5	6	18	24	26	30	37	38	39	44	46	47	54	62	67	73	76	79	80
13.7.1994	2	4	8	10	13	14	18	25	32	33	35	39	50	56	59	63	65	69	71	80
14.7.1994	11	20	22	25	28	29	32	33	36	37	41	45	46	55	56	66	71	73	79	80
15.7.1994	3	6	8	9	15	17	19	21	22	26	37	39	50	51	53	65	70	74	78	79
16.7.1994	6	13	16	20	24	25	31	33	34	36	39	43	44	50	54	55	57	63	67	71
18.7.1994	1	6	7	8	18	19	26	27	31	32	34	41	42	44	46	61	64	72	73	80
19.7.1994	1	2	9	10	13	16	18	19	23	29	34	37	40	42	46	50	52	68	71	79
20.7.1994	3	15	22	25	27	35	36	37	42	44	45	46	47	51	58	60	63	66	73	75
21.7.1994	1	3	4	7	13	16	28	32	38	46	47	48	57	59	61	66	68	70	75	80
22.7.1994	4	6	12	13	16	20	21	26	29	35	42	47	48	50	52	53	60	66	68	80
23.7.1994	6	7	9	10	12	14	16	22	23	27	34	36	54	56	59	65	70	73	77	78
25.7.1994	3	4	6	15	27	31	32	48	55	56	60	61	62	63	65	66	70	72	74	80
26.7.1994	3	11	12	17	21	30	34	35	36	40	44	47	48	53	59	64	70	73	75	76
27.7.1994	4	15	17	19	21	26	32	37	43	49	51	53	54	56	57	58	61	65	70	73
28.7.1994	3	5	7	15	19	20	21	38	40	51	52	53	57	63	69	71	74	78	79	80
29.7.1994	3	7	8	12	16	26	31	32	36	39	44	47	49	52	61	62	66	71	73	75
30.7.1994	4	5	11	14	15	24	25	27	32	53	55	56	58	61	62	67	70	71	77	80
1.8.1994	1	2	3	6	17	22	25	31	34	37	41	44	54	55	60	61	63	64	66	74
2.8.1994	3	9	16	17	21	31	32	43	44	46	48	50	53	57	60	62	68	75	77	80
3.8.1994	6	7	8	11	17	26	31	38	42	43	47	60	67	68	70	71	72	74	79	80
4.8.1994	4	5	14	17	19	20	22	30	31	38	39	57	61	63	64	65	66	74	75	78
5.8.1994	1	2	5	9	13	14	18	24	30	32	36	41	56	58	61	63	66	68	73	78
6.8.1994	2	7	9	10	11	13	14	19	26	35	37	43	44	55	57	60	62	69	72	75
8.8.1994	1	4	5	20	22	27	32	33	47	50	51	56	65	66	69	70	75	77	78	79
9.8.1994	7	8	12	18	20	21	26	28	33	35	46	49	50	58	66	68	70	71	74	78
10.8.1994	5	7	10	12	21	22	23	26	30	34	35	38	42	47	54	59	62	65	70	75
11.8.1994	1	3	5	9	19	22	23	24	29	42	46	48	49	53	65	67	70	71	75	79
12.8.1994	1	3	5	8	13	15	37	39	40	47	48	49	51	59	60	63	66	69	74	77
13.8.1994	2	3	6	7	22	25	34	35	41	42	46	48	50	52	55	62	67	74	75	77
15.8.1994	1	2	5	8	12	18	39	41	45	46	48	54	57	58	61	63	64	72	76	78
16.8.1994	5	8	17	18	25	30	31	33	34	37	44	45	47	48	60	62	70	72	76	79
17.8.1994	4	8	9	10	14	16	17	19	29	34	37	41	46	61	62	64	66	69	71	79
18.8.1994	10	14	17	22	25	26	27	30	31	35	40	41	47	51	59	63	70	73	77	79
19.8.1994	1	6	10	16	24	25	29	30	34	35	38	44	55	56	68	72	75	78	79	80
